               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  28,            0.037136,           0.0076966,                   0,             0.81121,             0.71618,             0.77003,             0.32221,            0.046917,           0.0078735,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.036875,           0.0072635,                   0,             0.94309,             0.66667,             0.80549,             0.32307,            0.046381,           0.0079086,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.035328,           0.0069028,                   0,             0.87068,             0.66667,             0.76596,             0.31034,            0.047276,            0.008035,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.034973,           0.0069228,                   0,             0.80691,             0.69298,             0.76805,             0.31888,            0.044822,           0.0080639,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.033759,           0.0072614,                   0,             0.83533,             0.68421,             0.75827,             0.32932,            0.046064,           0.0081341,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.034327,           0.0071018,                   0,             0.83861,             0.68371,             0.76651,             0.31921,            0.045504,           0.0077608,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.034005,           0.0070874,                   0,             0.88005,             0.66667,             0.74773,             0.28727,            0.046318,           0.0077621,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.032761,           0.0067884,                   0,              0.8827,             0.64035,             0.74301,             0.31457,            0.045134,            0.008073,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.032703,           0.0070961,                   0,             0.87011,             0.65789,             0.77458,             0.30269,            0.046234,           0.0082023,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.030616,           0.0072125,                   0,             0.93053,             0.71053,             0.80466,             0.34352,            0.044388,           0.0078331,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.033897,           0.0067271,                   0,              0.9437,             0.65789,             0.79129,             0.33687,            0.044342,           0.0079915,                   0,            0.007558,            0.007558,            0.007558
